DBMS_urnform,DBMS_common_name,upstream_repo_id,local_repo_id,repo_id_change_class,repo_link,repo_created_at,upstream_License_info,local_License_info,upstream_open_source_license,local_open_source_license,first_later_upstream_matching_month,provenance_class,provenance_evidence,in_frozen_301_candidates,in_frozen_294_seeds,source_evidence_present,scientific_role,human_review_required
duckdb,DuckDB,138754790,138754790,UNCHANGED,duckdb/duckdb,2018-06-26T15:04:45Z,MIT,MIT,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
ductiledb,DuctileDB,45098765,45098765,UNCHANGED,PureSolTechnologies/DuctileDB,2015-10-28T08:29:23Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
dydra,Dydra,1340162,1340162,UNCHANGED,dydra/dydra,2011-02-08T00:36:17Z,,The Unlicense,N,N,202411,UNRESOLVED_PROVENANCE,License_info changed while open_source_license stayed unchanged; no per-row source or execution record was found.,NO,NO,NO,NON_SEED_METADATA,YES
dynomitedb,DynomiteDB,,13484625,BLANK_TO_VALID_NUMERIC_REPO_ID,Netflix/dynomite,2013-10-10T22:36:31Z,Apache v2,Apache v2,Y,Y,NO_MATCH_IN_202411_202412,UNRESOLVED_PROVENANCE,"Numeric ID was already in local initial materialization 009bd98a; no source snapshot, API response, manual record, or later upstream confirmation was found.",YES,NO,NO,CANDIDATE_ONLY,YES
earthstar,Earthstar,266444815,266444815,UNCHANGED,earthstar-project/earthstar,2020-05-24T00:49:12Z,LGPL v3,LGPL v3,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
easedb,EaseDB,8428443,8428443,UNCHANGED,X2rdas/easedb,2013-02-26T08:34:58Z,MIT,MIT,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
echodb,EchoDB,421444565,421444565,UNCHANGED,surrealdb/echodb,2021-10-26T13:51:05Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
edgedb,EdgeDB,95817032,95817032,UNCHANGED,edgedb/edgedb,2017-06-29T20:30:48Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
edgelessdb,EdgelessDB,341208515,341208515,UNCHANGED,edgelesssys/edgelessdb,2021-02-22T13:24:30Z,GPL v2,GPL v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
edis,Edis,1196286,1196286,UNCHANGED,cbd/edis,2010-12-24T23:23:25Z,,Apache License 2.0,Y,Y,202411,UNRESOLVED_PROVENANCE,License_info changed while open_source_license stayed unchanged; no per-row source or execution record was found.,NO,NO,NO,NON_SEED_METADATA,YES
effiproz,EffiProz,,-,BLANK_TO_PLACEHOLDER,-,-,,-,Y,Y,NOT_APPLICABLE,REPRESENTATION_ONLY,Blank-to-'-' conversion is not an admitted numeric identity; exact conversion event is not recorded.,NO,NO,NO,NON_SEED_METADATA,YES
ehcache,Ehcache,17224514,17224514,UNCHANGED,ehcache/ehcache3,2014-02-26T20:39:16Z,Apache v2; commercial licenses available,Apache v2; commercial licenses available,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
einsteindb,EinsteinDB,180245584,180245584,UNCHANGED,YosiSF/EinsteinDB,2019-04-08T23:00:45Z,,,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
ejdb,EJDB,6427744,6427744,UNCHANGED,Softmotions/ejdb,2012-10-28T13:30:23Z,MIT#dbdbio>|<dbengines#GPLv2,MIT#dbdbio>|<dbengines#GPLv2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
elara-db,Elara DB,354659748,354659748,UNCHANGED,saurabh0719/elara,2021-04-04T22:33:04Z,BSD,BSD,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
elasql,ElaSQL,61373806,61373806,UNCHANGED,elasql/elasql,2016-06-17T13:00:38Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
elassandra,Elassandra,41209174,41209174,UNCHANGED,strapdata/elassandra,2015-08-22T13:52:08Z,Apache Version 2.0,Apache Version 2.0,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
elasticsearch,Elasticsearch,507775,507775,UNCHANGED,elastic/elasticsearch,2010-02-08T13:20:56Z,Apache v2#dbdbio>|<dbengines#Elastic License,Apache v2#dbdbio>|<dbengines#Elastic License,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
elephantdb,ElephantDB,1372117,1372117,UNCHANGED,nathanmarz/elephantdb,2011-02-16T01:54:18Z,BSD,BSD,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
elevator,Elevator,4211523,4211523,UNCHANGED,oleiade/Elevator,2012-05-03T07:14:12Z,MIT,MIT,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
eliasdb,EliasDB,65619619,65619619,UNCHANGED,krotik/eliasdb,2016-08-13T13:53:28Z,Mozilla Public License,Mozilla Public License,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
elliptics,Elliptics,4712089,4712089,UNCHANGED,reverbrain/elliptics,2012-06-19T10:05:10Z,LGPL v3,LGPL v3,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
endatabas,Endatabas,587246478,587246478,UNCHANGED,endatabas/endb,2023-01-10T09:57:42Z,AGPL v3,AGPL v3,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
engula,Engula,393005910,393005910,UNCHANGED,engula/engula,,Apache v2,Apache v2,Y,Y,202411,NO_DIFFERENCE,No compared common-field difference.,NO,NO,NO,NON_SEED_METADATA,NO
ennodb,EnnoDB,6768410,6768410,UNCHANGED,badgerman/ennodb,2012-11-19T22:24:27Z,ISC License,ISC License,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
epsilla,Epsilla,664133375,664133375,UNCHANGED,epsilla-cloud/vectordb,2023-07-09T02:28:31Z,GPL v3,GPL v3,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
etcd,etcd,11225014,11225014,UNCHANGED,etcd-io/etcd,2013-07-06T21:57:21Z,Apache v2.0,Apache v2.0,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
euclidesdb,EuclidesDB,156942199,156942199,UNCHANGED,perone/euclidesdb,2018-11-10T03:03:51Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
euclidolap,EuclidOLAP,534109388,534109388,UNCHANGED,EuclidOLAP/EuclidOLAP,,Apache v2,Apache v2,Y,Y,202411,NO_DIFFERENCE,No compared common-field difference.,YES,YES,YES,SEED,NO
eva-db,EVA DB,148087762,148087762,UNCHANGED,georgia-tech-db/eva,2018-09-10T02:26:03Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
evcache,EVCache,8103021,8103021,UNCHANGED,Netflix/EVCache,2013-02-08T22:52:57Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
event-store,Event Store,5844474,5844474,UNCHANGED,EventStore/EventStore,2012-09-17T17:22:49Z,BSD,BSD,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
eventql,EventQL,59475316,59475316,UNCHANGED,eventql/eventql,2016-05-23T10:56:48Z,AGPL v3,AGPL v3,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
evitadb,evitaDB,605189726,605189726,UNCHANGED,FgForrest/evitaDB,2023-02-22T16:29:30Z,Business Source License,Business Source License,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
exist-db,eXist-db,11695619,11695619,UNCHANGED,eXist-db/exist,2013-07-26T21:53:48Z,LGPL v2,LGPL v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
extensible-storage-engine,Extensible Storage Engine,331747853,331747853,UNCHANGED,microsoft/Extensible-Storage-Engine,2021-01-21T20:34:01Z,MIT,MIT,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
eyedb,EyeDB,145843258,145843258,UNCHANGED,eyedb/eyedb,2018-08-23T11:18:30Z,LGPL v2,LGPL v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
eyros,eyros,162765004,162765004,UNCHANGED,peermaps/eyros,2018-12-21T23:01:29Z,Parity Public License,Parity Public License,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
falcon,Falcon,,-,BLANK_TO_PLACEHOLDER,-,-,,-,Y,Y,NOT_APPLICABLE,REPRESENTATION_ONLY,Blank-to-'-' conversion is not an admitted numeric identity; exact conversion event is not recorded.,NO,NO,NO,NON_SEED_METADATA,YES
falkordb,FalkorDB,668673665,668673665,UNCHANGED,falkordb/falkordb,2023-07-20T10:47:51Z,Server Side Public License,Server Side Public License,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
fallen-8,Fallen-8,2672286,2672286,UNCHANGED,cosh/fallen-8,2011-10-29T20:03:38Z,MIT,MIT,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
fastdb,FastDB,29210020,29210020,UNCHANGED,gavioto/fastdb,2015-01-13T20:42:32Z,,Other,Y,Y,202411,UNRESOLVED_PROVENANCE,License_info changed while open_source_license stayed unchanged; no per-row source or execution record was found.,NO,NO,NO,NON_SEED_METADATA,YES
faster,FASTER,143253020,143253020,UNCHANGED,microsoft/FASTER,2018-08-02T06:38:41Z,MIT,MIT,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
featurebase,FeatureBase,40127179,40127179,UNCHANGED,featurebasedb/featurebase,2015-08-03T13:48:08Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
featureform,FeatureForm,304530333,304530333,UNCHANGED,featureform/embeddinghub,2020-10-16T05:41:53Z,Mozilla Public License,Mozilla Public License,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
ferretdb,FerretDB,422821402,422821402,UNCHANGED,FerretDB/FerretDB,2021-10-30T08:06:36Z,,Apache License 2.0,Y,Y,202411,UNRESOLVED_PROVENANCE,License_info changed while open_source_license stayed unchanged; no per-row source or execution record was found.,YES,YES,YES,SEED,YES
filedb,FileDB,30123805,30123805,UNCHANGED,mbdavid/FileDB,2015-01-31T19:43:18Z,MIT,MIT,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
filedb-dotnet,FileDb,172208960,172208960,UNCHANGED,eztools-software/FileDb,2019-02-23T11:58:25Z,Mozilla Public License,Mozilla Public License,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
filodb,FiloDB,,29259281,BLANK_TO_VALID_NUMERIC_REPO_ID,filodb/FiloDB,2015-01-14T18:35:32Z,Apache v2,Apache v2,Y,Y,NO_MATCH_IN_202411_202412,UNRESOLVED_PROVENANCE,"Numeric ID was already in local initial materialization 009bd98a; no source snapshot, API response, manual record, or later upstream confirmation was found.",YES,NO,NO,CANDIDATE_ONLY,YES
finedb,FineDB,10650868,10650868,UNCHANGED,Amaury/FineDB,2013-06-12T19:59:12Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
firebird,Firebird,54005538,54005538,UNCHANGED,FirebirdSQL/firebird,2016-03-16T06:10:37Z,Mozilla Public License#dbdbio>|<dbengines#Initial Developer's Public License,Mozilla Public License#dbdbio>|<dbengines#Initial Developer's Public License,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
firebolt,Firebolt,392839612,392839612,UNCHANGED,firebolt-db/firebolt-python-sdk,2021-08-04T22:29:23Z,,Apache License 2.0,N,N,202411,UNRESOLVED_PROVENANCE,License_info changed while open_source_license stayed unchanged; no per-row source or execution record was found.,NO,NO,NO,NON_SEED_METADATA,YES
fireproof,Fireproof,679889516,679889516,UNCHANGED,fireproof-storage/fireproof,2023-08-17T21:13:44Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
flashdb,FlashDB,266515876,266515876,UNCHANGED,armink/FlashDB,2020-05-24T10:15:56Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
fleetdb,FleetDB,351190,351190,UNCHANGED,mmcgrana/fleetdb,2009-10-27T10:20:47Z,MIT,MIT,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
flockdb,FlockDB,605999,605999,UNCHANGED,twitter-archive/flockdb,2010-04-12T03:53:45Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
fluree,Fluree,305513242,305513242,UNCHANGED,fluree/db,2020-10-19T21:06:38Z,AGPL v3; open-sourced in October 2020,AGPL v3; open-sourced in October 2020,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
fongo,Fongo,14143348,14143348,UNCHANGED,fakemongo/fongo,2013-11-05T14:22:05Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
forestdb,ForestDB,12497058,12497058,UNCHANGED,couchbase/forestdb,2013-08-30T22:53:06Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
foundationdb,FoundationDB,114187903,114187903,UNCHANGED,apple/foundationdb,2017-12-14T01:40:42Z,Apache v2.0,Apache v2.0,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
framerd,FramerD,107304517,107304517,UNCHANGED,wware/FramerD,2017-10-17T17:54:22Z,GPL v2,GPL v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
frostdb,FrostDB,473235285,473235285,UNCHANGED,polarsignals/frostdb,2022-03-23T14:55:52Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
fueldb,FuelDB,25364889,25364889,UNCHANGED,unnamed38/fueldb,2014-10-17T15:38:41Z,MIT,MIT,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
gadfly,Gadfly,,-,BLANK_TO_PLACEHOLDER,-,-,Python License,Python License,Y,Y,NOT_APPLICABLE,REPRESENTATION_ONLY,Blank-to-'-' conversion is not an admitted numeric identity; exact conversion event is not recorded.,NO,NO,NO,NON_SEED_METADATA,YES
gaffer,Gaffer,47973088,47973088,UNCHANGED,gchq/Gaffer,2015-12-14T12:12:39Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
gaia,Gaia,240387847,240387847,UNCHANGED,gaia-platform/GaiaPlatform,2020-02-13T23:23:34Z,MIT,MIT,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
garnet,Garnet,681372871,681372871,UNCHANGED,microsoft/garnet,2023-08-21T21:54:58Z,MIT,MIT,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
genji,Genji,138411034,138411034,UNCHANGED,genjidb/genji,2018-06-23T15:12:03Z,,MIT License,Y,Y,202411,UNRESOLVED_PROVENANCE,License_info changed while open_source_license stayed unchanged; no per-row source or execution record was found.,YES,YES,YES,SEED,YES
geode,Geode,34839383,34839383,UNCHANGED,apache/geode,2015-04-30T07:00:05Z,Apache v2; commercial licenses available as Gemfire,Apache v2; commercial licenses available as Gemfire,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
geomesa,GeoMesa,93667206,93667206,UNCHANGED,geomesa/geomesa-geoserver,2017-06-07T18:33:48Z,Apache License 2.0,Apache License 2.0,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
ghostdb,GhostDB,265390281,265390281,UNCHANGED,jakekgrog/GhostDB,2020-05-19T23:13:36Z,BSD,BSD,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
gigabase,GigaBASE,40787594,40787594,UNCHANGED,aur-archive/gigabase,2015-08-15T21:59:32Z,,Other,Y,Y,202411,UNRESOLVED_PROVENANCE,License_info changed while open_source_license stayed unchanged; no per-row source or execution record was found.,NO,NO,NO,NON_SEED_METADATA,YES
gigaspaces,GigaSpaces,,-,BLANK_TO_PLACEHOLDER,-,-,Apache Version 2; Commercial licenses available,Apache Version 2; Commercial licenses available,Y,Y,NOT_APPLICABLE,REPRESENTATION_ONLY,Blank-to-'-' conversion is not an admitted numeric identity; exact conversion event is not recorded.,NO,NO,NO,NON_SEED_METADATA,YES
giraph,Giraph,2282376,2282376,UNCHANGED,apache/giraph,2011-08-28T07:00:33Z,Apache Version 2,Apache Version 2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
glaredb,GlareDB,496817075,496817075,UNCHANGED,GlareDB/glaredb,2022-05-27T00:52:47Z,AGPL v3,AGPL v3,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
glowdust,Glowdust,,-,BLANK_TO_PLACEHOLDER,-,-,GPL v3,GPL v3,Y,Y,NOT_APPLICABLE,REPRESENTATION_ONLY,Blank-to-'-' conversion is not an admitted numeric identity; exact conversion event is not recorded.,NO,NO,NO,NON_SEED_METADATA,YES
gnocchi,Gnocchi,91715647,91715647,UNCHANGED,gnocchixyz/gnocchi,2017-05-18T16:32:52Z,Apache v2,Apache v2,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
gnu-sql-server,GNU SQL Server,,-,BLANK_TO_PLACEHOLDER,-,-,GPL v2,GPL v2,Y,Y,NOT_APPLICABLE,REPRESENTATION_ONLY,Blank-to-'-' conversion is not an admitted numeric identity; exact conversion event is not recorded.,NO,NO,NO,NON_SEED_METADATA,YES
goods,GOODS,,-,BLANK_TO_PLACEHOLDER,-,-,MIT,MIT,Y,Y,NOT_APPLICABLE,REPRESENTATION_ONLY,Blank-to-'-' conversion is not an admitted numeric identity; exact conversion event is not recorded.,NO,NO,NO,NON_SEED_METADATA,YES
goshawkdb,GoshawkDB,48279725,48279725,UNCHANGED,goshawkdb/server,2015-12-19T11:42:12Z,AGPL v3,AGPL v3,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
graph-engine,Graph Engine,81411018,81411018,UNCHANGED,microsoft/GraphEngine,2017-02-09T05:02:16Z,MIT License,MIT License,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,YES,YES,YES,SEED,YES
grapheekdb,GrapheekDB,74678263,74678263,UNCHANGED,fanjinfei/grapheekdb,2016-11-24T14:01:20Z,GPL v3,GPL v3,Y,Y,202411,TRACEABLE_MATERIALIZATION_WITH_PARTIAL_FIELD_ORIGIN,repo_created_at was added in 720cb95a and copied into activity materialization; source/API execution record is absent.,NO,NO,NO,NON_SEED_METADATA,YES
