DBMS_urnform,DBMS_common_name,endpoint_classification,january_repo_state,january_repo_id,january_repo_link,october_repo_state,october_repo_id,october_repo_link,january_open_source_license,october_open_source_license,eligibility_classification,reason,reason_evidence,monthly_repo_id_trajectory,monthly_state_trajectory,monthly_id_change_count,activity_january_repo_id,activity_october_repo_id,activity_ratio,activity_order_of_magnitude_review
solr,Solr,VALID_ID_TO_DIFFERENT_VALID_ID,VALID_NUMERIC_REPO_ID,341374920,apache/solr,VALID_NUMERIC_REPO_ID,50229487,apache/lucene-solr,Y,Y,OPEN_SOURCE_ELIGIBILITY_UNCHANGED,UNRESOLVED_REASON,"Structural change is observed, but the available snapshot fields do not prove a specific correction, migration, fork, or eligibility cause.",341374920 -> 341374920 -> 341374920 -> 341374920 -> 341374920 -> 341374920 -> 341374920 -> 50229487 -> 50229487 -> 50229487,VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID,1,,36,,False
spacetimedb,SpacetimeDB,ROW_ADDED_BY_202410,MISSING,,,VALID_NUMERIC_REPO_ID,654870350,ClockworkLabs/SpacetimeDB,,Y,UNRESOLVED_ELIGIBILITY_CHANGE,UNRESOLVED_REASON,"Structural change is observed, but the available snapshot fields do not prove a specific correction, migration, fork, or eligibility cause.",MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> 654870350,MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> VALID_NUMERIC_REPO_ID,1,,,,False
stereodb,StereoDB,ROW_ADDED_BY_202410,MISSING,,,VALID_NUMERIC_REPO_ID,590507334,StereoDB/StereoDB,,Y,UNRESOLVED_ELIGIBILITY_CHANGE,UNRESOLVED_REASON,"Structural change is observed, but the available snapshot fields do not prove a specific correction, migration, fork, or eligibility cause.",MISSING -> MISSING -> MISSING -> MISSING -> 590507334 -> 590507334 -> 590507334 -> 590507334 -> 590507334 -> 590507334,MISSING -> MISSING -> MISSING -> MISSING -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID,1,,48,,False
stormidb,StormiDB,ROW_ADDED_BY_202410,MISSING,,,VALID_NUMERIC_REPO_ID,852516379,goshops-com/StormiDB,,Y,UNRESOLVED_ELIGIBILITY_CHANGE,UNRESOLVED_REASON,"Structural change is observed, but the available snapshot fields do not prove a specific correction, migration, fork, or eligibility cause.",MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> 852516379,MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> VALID_NUMERIC_REPO_ID,1,,,,False
tantivy,Tantivy,ROW_ADDED_BY_202410,MISSING,,,VALID_NUMERIC_REPO_ID,49412556,quickwit-oss/tantivy,,Y,UNRESOLVED_ELIGIBILITY_CHANGE,UNRESOLVED_REASON,"Structural change is observed, but the available snapshot fields do not prove a specific correction, migration, fork, or eligibility cause.",MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> 49412556 -> 49412556 -> 49412556 -> 49412556 -> 49412556,MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID,1,,3755,,False
tonbo,Tonbo,ROW_ADDED_BY_202410,MISSING,,,VALID_NUMERIC_REPO_ID,828742634,tonbo-io/tonbo,,Y,UNRESOLVED_ELIGIBILITY_CHANGE,UNRESOLVED_REASON,"Structural change is observed, but the available snapshot fields do not prove a specific correction, migration, fork, or eligibility cause.",MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> 828742634,MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> VALID_NUMERIC_REPO_ID,1,,,,False
tugraph,TuGraph,ROW_ADDED_BY_202410,MISSING,,,VALID_NUMERIC_REPO_ID,528766495,TuGraph-family/tugraph-db,,Y,UNRESOLVED_ELIGIBILITY_CHANGE,UNRESOLVED_REASON,"Structural change is observed, but the available snapshot fields do not prove a specific correction, migration, fork, or eligibility cause.",MISSING -> MISSING -> MISSING -> 528766495 -> 528766495 -> 528766495 -> 528766495 -> 528766495 -> 528766495 -> 528766495,MISSING -> MISSING -> MISSING -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID,1,,64,,False
valkey,Valkey,ROW_ADDED_BY_202410,MISSING,,,VALID_NUMERIC_REPO_ID,775743011,valkey-io/valkey,,Y,UNRESOLVED_ELIGIBILITY_CHANGE,UNRESOLVED_REASON,"Structural change is observed, but the available snapshot fields do not prove a specific correction, migration, fork, or eligibility cause.",MISSING -> MISSING -> 775743011 -> 775743011 -> 775743011 -> 775743011 -> 775743011 -> 775743011 -> 775743011 -> 775743011,MISSING -> MISSING -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID,1,,,,False
velarixdb,VelarixDB,ROW_ADDED_BY_202410,MISSING,,,VALID_NUMERIC_REPO_ID,840308148,Gifted-s/velarixdb,,Y,UNRESOLVED_ELIGIBILITY_CHANGE,UNRESOLVED_REASON,"Structural change is observed, but the available snapshot fields do not prove a specific correction, migration, fork, or eligibility cause.",MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> 840308148 -> 840308148 -> 840308148,MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> MISSING -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID,1,,,,False
venndb,VennDB,ROW_ADDED_BY_202410,MISSING,,,VALID_NUMERIC_REPO_ID,618452402,plabayo/venndb,,Y,UNRESOLVED_ELIGIBILITY_CHANGE,UNRESOLVED_REASON,"Structural change is observed, but the available snapshot fields do not prove a specific correction, migration, fork, or eligibility cause.",MISSING -> MISSING -> MISSING -> 618452402 -> 618452402 -> 618452402 -> 618452402 -> 618452402 -> 618452402 -> 618452402,MISSING -> MISSING -> MISSING -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID -> VALID_NUMERIC_REPO_ID,1,,,,False
